,NIG021_UD 100.0(Hz) unit:(gal)
520,0.006178964340567195
521,0.005940545761465632
522,0.019291986191153132
523,0.02382193919408282
524,0.030736077988028132
525,0.027875055038809382
526,0.024060357773184382
527,0.01237784739720782
528,0.008324731552481257
529,0.022391427719473445
530,0.027159799301504695
531,0.014523614609121882
532,0.015000451767325007
533,0.03693496104466876
534,0.03621970530736407
535,0.026206124985098445
536,0.02191459056127032
537,0.012616265976309382
538,0.010708917343496882
539,0.020722497665762507
540,0.011901010239004695
541,0.008086312973379695
542,0.023345102035879695
543,0.03431235667455157
544,0.027875055038809382
545,0.02668296214330157
546,0.017623056137442195
547,0.0018874299167390696
548,0.01142417308080157
549,0.020484079086660945
550,0.03884230967748126
551,0.035742868149160945
552,0.01428519603002032
553,0.007371057236075007
554,0.02668296214330157
555,0.01333152171361407
556,0.00665580149877032
557,0.021199334823965632
558,0.04027282115209063
559,0.027875055038809382
560,0.017384637558340632
561,0.021199334823965632
562,0.029782403671621882
563,0.014762033188223445
564,0.01905356761205157
565,0.020484079086660945
566,0.017623056137442195
567,0.01809989329564532
568,0.022629846298575007
569,0.0028411042331453196
570,0.006417382919668757
571,0.03145133372533282
572,0.03526603099095782
573,0.0006953370212312571
574,0.014046777450918757
575,0.013093103134512507
576,0.019530404770254695
577,0.03335868235814532
578,0.027159799301504695
579,0.01047049876439532
580,0.003556359970450007
581,0.022153009140371882
582,0.013093103134512507
583,0.018815149032950007
584,0.012616265976309382
585,0.023583520614981257
586,0.018576730453848445
587,0.009039987289785945
588,0.02096091624486407
589,0.018338311874746882
590,0.026444543564200007
591,0.034789193832754695
592,0.04027282115209063
593,0.01714621897923907
594,0.002125848495840632
595,0.009039987289785945
596,0.030259240829825007
597,0.031928170883535945
598,0.008324731552481257
599,0.013569940292715632
600,0.039557565414785945
601,0.03645812388646563
602,0.013569940292715632
603,0.010947335922598445
604,0.017861474716543757
605,0.021676171982168757
606,0.029067147934317195
607,0.006417382919668757
608,0.009993661606192195
609,0.03407393809545001
610,0.046233285629629695
611,0.02954398509252032
612,0.015477288925528132
613,0.014046777450918757
614,-0.003119360244393743
615,0.009039987289785945
616,0.03693496104466876
617,0.046233285629629695
618,0.028828729355215632
619,0.018815149032950007
620,0.017623056137442195
621,0.027398217880606257
622,0.01905356761205157
623,0.012139428818106257
624,0.02286826487767657
625,0.04098807688939532
626,0.035742868149160945
627,0.012854684555410945
628,0.014046777450918757
629,0.029782403671621882
630,0.007371057236075007
631,-0.0014504301906828054
632,0.024060357773184382
633,0.029305566513418757
634,0.024298776352285945
635,0.019530404770254695
636,0.01333152171361407
637,0.016430963241934382
638,0.020245660507559382
639,0.015477288925528132
640,0.015477288925528132
641,0.011662591659903132
642,0.009039987289785945
643,0.023106683456778132
644,0.037650216781973445
645,0.024298776352285945
646,0.019768823349356257
647,-0.002165685927987493
648,0.011185754501700007
649,0.02572928782689532
650,0.021437753403067195
651,0.02382193919408282
652,0.022629846298575007
653,0.014523614609121882
654,0.017384637558340632
655,0.014046777450918757
656,0.007371057236075007
657,0.017623056137442195
658,0.029067147934317195
659,0.03526603099095782
660,0.018338311874746882
661,0.003079522812246882
662,0.00474845286595782
663,0.01523887034642657
664,0.02286826487767657
665,0.009039987289785945
666,0.03168975230443438
667,0.04456435557591876
668,0.01714621897923907
669,-0.00860298756372968
670,0.01142417308080157
671,0.014762033188223445
672,0.024537194931387507
673,0.01333152171361407
674,0.008086312973379695
675,0.017384637558340632
676,0.03407393809545001
677,0.029782403671621882
678,0.023583520614981257
679,0.022629846298575007
680,0.015477288925528132
681,0.010232080185293757
682,0.016669381821035945
683,0.026921380722403132
684,0.03526603099095782
685,0.03407393809545001
686,0.025252450668692195
687,0.008324731552481257
688,0.006178964340567195
689,0.01523887034642657
690,0.012139428818106257
691,0.021437753403067195
692,0.025014032089590632
693,0.021437753403067195
694,0.021437753403067195
695,0.034789193832754695
696,0.032881845199942195
697,0.01047049876439532
698,0.003556359970450007
699,0.016430963241934382
700,0.031928170883535945
701,0.02668296214330157
702,0.017623056137442195
703,0.014046777450918757
704,0.024298776352285945
705,0.024537194931387507
706,0.013808358871817195
707,0.016669381821035945
708,0.011662591659903132
709,0.016907800400137507
710,0.03145133372533282
711,0.024537194931387507
712,0.012616265976309382
713,0.00951682444798907
714,0.03240500804173907
715,0.04194175120580157
716,0.03168975230443438
717,0.017861474716543757
718,0.015954126083731257
719,0.004033197128653132
720,0.012139428818106257
721,0.031928170883535945
722,0.026206124985098445
723,0.021676171982168757
724,0.00760947581517657
725,0.023106683456778132
726,0.025967706405996882
727,0.023106683456778132
728,0.017384637558340632
729,0.015000451767325007
730,0.013093103134512507
731,0.004271615707754695
732,0.009993661606192195
733,0.04408751841771563
734,0.05028640147435626
735,0.017623056137442195
736,0.006894220077871882
737,0.0018874299167390696
738,0.02096091624486407
739,0.04265700694310626
740,0.03407393809545001
741,0.019291986191153132
742,0.023345102035879695
743,0.02000724192845782
744,0.014046777450918757
745,0.016669381821035945
746,0.015954126083731257
747,0.014523614609121882
748,0.007847894394278132
749,0.011901010239004695
750,0.02763663645970782
751,0.028113473617910945
752,0.018576730453848445
753,0.024060357773184382
754,0.023583520614981257
755,0.008801568710684382
756,0.006178964340567195
757,0.03717337962377032
758,0.04408751841771563
759,0.04218016978490313
760,0.020722497665762507
761,0.010232080185293757
762,0.023345102035879695
763,0.031212915146231257
764,0.009039987289785945
765,0.019768823349356257
766,0.03645812388646563
767,0.024537194931387507
768,0.0037947785495515696
769,0.004986871445059382
770,0.026921380722403132
771,0.04885588999974688
772,0.03145133372533282
773,0.01142417308080157
774,0.01428519603002032
775,0.014762033188223445
776,0.01047049876439532
777,0.03264342662084063
778,0.03741179820287188
