,NIGH01_EW2 200.0(Hz) unit:(gal)
398,0.1324459234873454
399,0.1324459234873454
400,0.13387643496195478
401,0.13530694643656416
402,0.1369758764902751
403,0.13864480654398603
404,0.1388832251230876
405,0.13769113222757978
406,0.13649903933207197
407,0.13602220217386884
408,0.13530694643656416
409,0.1343532721201579
410,0.13363801638285322
411,0.13387643496195478
412,0.13554536501566572
413,0.1381679693857829
414,0.14055215517679853
415,0.14150582949320478
416,0.14055215517679853
417,0.13792955080668134
418,0.13554536501566572
419,0.13483010927836103
420,0.13530694643656416
421,0.13554536501566572
422,0.13578378359476728
423,0.13602220217386884
424,0.13554536501566572
425,0.1350685278574626
426,0.13530694643656416
427,0.13649903933207197
428,0.13721429506937666
429,0.13673745791117353
430,0.13602220217386884
431,0.1350685278574626
432,0.13363801638285322
433,0.13268434206644697
434,0.1350685278574626
435,0.1400753180185954
436,0.14365159670511884
437,0.14341317812601728
438,0.1400753180185954
439,0.13649903933207197
440,0.13554536501566572
441,0.13721429506937666
442,0.13983689943949384
443,0.14031373659769697
444,0.13769113222757978
445,0.1350685278574626
446,0.13602220217386884
447,0.13936006228129072
448,0.14245950380961103
449,0.1446052710215251
450,0.14555894533793134
451,0.14532052675882978
452,0.1426979223887126
453,0.13864480654398603
454,0.13483010927836103
455,0.13268434206644697
456,0.13196908632914228
457,0.13292276064554853
458,0.13459169069925947
459,0.13578378359476728
460,0.1369758764902751
461,0.13936006228129072
462,0.14222108523050947
463,0.14293634096781416
464,0.14126741091410322
465,0.13840638796488447
466,0.13602220217386884
467,0.13411485354105634
468,0.1331611792246501
469,0.13339959780375166
470,0.1350685278574626
471,0.13745271364847822
472,0.1388832251230876
473,0.13912164370218916
474,0.13792955080668134
475,0.13649903933207197
476,0.1362606207529704
477,0.13745271364847822
478,0.13912164370218916
479,0.13983689943949384
480,0.13983689943949384
481,0.13983689943949384
482,0.13959848086039228
483,0.13792955080668134
484,0.13578378359476728
485,0.13554536501566572
486,0.1388832251230876
487,0.14293634096781416
488,0.14436685244242353
489,0.1426979223887126
490,0.14031373659769697
491,0.13840638796488447
492,0.13745271364847822
493,0.1369758764902751
494,0.13745271364847822
495,0.1388832251230876
496,0.14126741091410322
497,0.14341317812601728
498,0.1438900152842204
499,0.14174424807230634
500,0.1388832251230876
501,0.13840638796488447
502,0.1400753180185954
503,0.14150582949320478
504,0.14102899233500166
505,0.13983689943949384
506,0.13864480654398603
507,0.13769113222757978
508,0.13721429506937666
509,0.13840638796488447
510,0.13959848086039228
511,0.13912164370218916
512,0.13745271364847822
513,0.13649903933207197
514,0.13721429506937666
515,0.13840638796488447
516,0.1400753180185954
517,0.14174424807230634
518,0.1419826666514079
519,0.14031373659769697
520,0.13864480654398603
521,0.13840638796488447
522,0.1381679693857829
523,0.1381679693857829
524,0.1388832251230876
525,0.14055215517679853
526,0.14222108523050947
527,0.1419826666514079
528,0.13936006228129072
529,0.13769113222757978
530,0.13864480654398603
531,0.14055215517679853
532,0.14055215517679853
533,0.13936006228129072
534,0.13792955080668134
535,0.13649903933207197
536,0.13602220217386884
537,0.1369758764902751
538,0.13792955080668134
539,0.13745271364847822
540,0.13602220217386884
541,0.13483010927836103
542,0.1350685278574626
543,0.13745271364847822
544,0.14055215517679853
545,0.1438900152842204
546,0.14603578249613447
547,0.14508210817972822
548,0.14174424807230634
549,0.1388832251230876
550,0.13864480654398603
551,0.13959848086039228
552,0.1407905737559001
553,0.14150582949320478
554,0.14222108523050947
555,0.14245950380961103
556,0.14102899233500166
557,0.13912164370218916
558,0.1388832251230876
559,0.1407905737559001
560,0.14222108523050947
