,NIGH01_UD2 200.0(Hz) unit:(gal)
127,0.0049457192420958584
128,0.0054225564002989834
129,0.005184137821197421
130,0.0054225564002989834
131,0.0063762307167052334
132,0.008283579349517733
133,0.009237253665923983
134,0.008045160770416171
135,0.006137812137603671
136,0.0073299050331114834
137,0.011144602298736483
138,0.015197718143463046
139,0.01567455530166617
140,0.012813532352447421
141,0.009714090824127108
142,0.008283579349517733
143,0.008283579349517733
144,0.008045160770416171
145,0.007091486454009921
146,0.0058993935585021084
147,0.0049457192420958584
148,0.0039920449256896084
149,0.002323114871978671
150,0.00041576623916617095
151,-0.00029948949813851655
152,0.001846277713775546
153,0.0054225564002989834
154,0.008998835086822421
155,0.010429346561431796
156,0.009714090824127108
157,0.008521997928619296
158,0.008045160770416171
159,0.008521997928619296
160,0.010190927982330233
161,0.012575113773345858
162,0.012098276615142733
163,0.008521997928619296
164,0.0054225564002989834
165,0.006614649295806796
166,0.008760416507720858
167,0.008998835086822421
168,0.0063762307167052334
169,0.003276789188384921
170,0.001369440555572421
171,0.000892603397369296
172,0.0011310219764708584
173,0.001846277713775546
174,0.0020846962928771084
175,0.002799952030181796
176,0.0035152077674864834
177,0.003276789188384921
178,0.000892603397369296
179,-0.001491582393646329
180,-0.0017300009727478916
181,0.0006541848182677334
182,0.0039920449256896084
183,0.006614649295806796
184,0.0073299050331114834
185,0.0063762307167052334
186,0.0058993935585021084
187,0.006137812137603671
188,0.006614649295806796
189,0.0063762307167052334
190,0.005184137821197421
191,0.003753626346588046
192,0.002323114871978671
193,0.003276789188384921
194,0.0063762307167052334
195,0.009237253665923983
196,0.010667765140533358
197,0.011383020877838046
198,0.011859858036041171
199,0.011144602298736483
200,0.008521997928619296
201,0.0058993935585021084
202,0.004230463504791171
203,0.0035152077674864834
204,0.004707300662994296
205,0.0073299050331114834
206,0.008760416507720858
207,0.007091486454009921
208,0.005660974979400546
209,0.0068530678749083584
210,0.009475672245025546
211,0.009952509403228671
212,0.008521997928619296
213,0.007091486454009921
214,0.006614649295806796
215,0.0063762307167052334
216,0.0063762307167052334
217,0.0068530678749083584
218,0.008045160770416171
219,0.008760416507720858
220,0.008521997928619296
221,0.0078067421913146084
222,0.007568323612213046
223,0.008760416507720858
224,0.010667765140533358
225,0.011144602298736483
226,0.009952509403228671
227,0.009237253665923983
228,0.010429346561431796
229,0.011144602298736483
230,0.009952509403228671
231,0.0078067421913146084
232,0.0063762307167052334
233,0.007568323612213046
234,0.010429346561431796
235,0.012098276615142733
236,0.010190927982330233
237,0.006614649295806796
238,0.0039920449256896084
239,0.003753626346588046
240,0.004707300662994296
241,0.006137812137603671
242,0.0073299050331114834
243,0.007568323612213046
244,0.007568323612213046
245,0.007568323612213046
246,0.008283579349517733
247,0.008045160770416171
248,0.0068530678749083584
249,0.005184137821197421
250,0.004230463504791171
251,0.004230463504791171
252,0.005184137821197421
253,0.0068530678749083584
254,0.009475672245025546
255,0.010906183719634921
256,0.010429346561431796
257,0.008998835086822421
258,0.008521997928619296
259,0.0078067421913146084
260,0.0068530678749083584
261,0.0058993935585021084
262,0.0063762307167052334
263,0.008283579349517733
264,0.009714090824127108
265,0.008521997928619296
266,0.0063762307167052334
267,0.0054225564002989834
268,0.005660974979400546
269,0.0068530678749083584
270,0.0073299050331114834
271,0.0068530678749083584
272,0.006137812137603671
273,0.0063762307167052334
274,0.007091486454009921
275,0.0078067421913146084
276,0.0073299050331114834
277,0.006137812137603671
