,MYG012_UD 100.0(Hz) unit:(gal)
133,-0.009636378741902263
134,-0.01914669298500371
135,0.013822396391084624
136,0.04108529722131493
137,0.042353339120388966
138,0.030940962028665808
139,0.01952858493694265
140,0.02079662683602379
141,0.007482186895678922
142,0.0055801240470643165
143,0.04362138101947011
144,0.02396673158372664
145,-0.03563123767305143
146,-0.005832253044658842
147,0.06454407235429471
148,0.06517809330383528
149,0.009384249744300632
150,-0.012172462540064544
151,0.02079662683602379
152,0.03284302487728752
153,0.016358480189246905
154,0.014456417340625194
155,0.028404878230510633
156,0.030306941079125238
157,0.0024100192993614655
158,-0.0051982320951182714
159,0.026502815381888922
160,0.0226986896846455
161,0.0030440402489020357
162,0.03157498297820638
163,0.04742550671671353
164,0.013188375441544054
165,0.0068481659461383515
166,0.030940962028665808
167,0.02396673158372664
168,0.0005079564507397549
169,-0.002028127347422526
170,0.013188375441544054
171,0.0353791086754498
172,0.03791519247361208
173,0.013822396391084624
174,0.01826054303786151
175,0.04488942291855125
176,0.015724459239706334
177,-0.02295081868224713
178,0.008750228794760062
179,0.04488942291855125
180,0.03918323437269322
181,0.03474508772590923
182,0.03411106677636866
183,0.01889456398740208
184,-0.0007600854483413855
185,-0.005832253044658842
186,0.015090438290165764
187,0.030306941079125238
188,0.02079662683602379
189,0.02206466873510493
190,0.02016260588648322
191,-0.00012606449880081527
192,0.010652291643381773
193,0.04488942291855125
194,0.056935820959814976
195,0.01889456398740208
196,-0.03816732147121371
197,-0.011538441590523973
198,0.057569841909355546
199,0.04298736006992954
200,0.0017759983498208953
201,0.017626522088328045
202,0.01889456398740208
203,-0.010270399691442833
204,0.016358480189246905
205,0.0689822190010787
206,0.04108529722131493
207,-0.028022986278571693
208,0.0011419774002803251
209,0.0734203656478627
210,0.029038899180051203
211,-0.04197144716845003
212,0.013188375441544054
213,0.08229665894142357
214,0.03791519247361208
215,-0.015342567287767395
216,0.02079662683602379
217,0.0480595276662541
218,0.0024100192993614655
219,-0.023584839631787702
220,0.008116207845219492
221,0.03981725532223379
222,0.025234773482807782
223,0.012554354492003483
224,0.04742550671671353
225,0.04298736006992954
226,0.0024100192993614655
227,0.016992501138787475
228,0.0353791086754498
229,0.011920333542462913
230,-0.0039301901960442365
231,0.0005079564507397549
232,0.02079662683602379
233,0.029038899180051203
