,NIG019_EW 100.0(Hz) unit:(gal)
206,-5.644702903403088
207,-5.634450904501721
208,-5.631828300131604
209,-5.639457694662854
210,-5.638027183188244
211,-5.640888206137463
212,-5.634927741659924
213,-5.636835090292736
214,-5.646371833456799
215,-5.645179740561291
216,-5.638027183188244
217,-5.64351081050758
218,-5.642318717612072
219,-5.632305137289807
220,-5.633735648764416
221,-5.639934531821057
222,-5.626583091391369
223,-5.629920951498791
224,-5.627298347128674
225,-5.64351081050758
226,-5.646133414877697
227,-5.641603461874768
228,-5.637073508871838
229,-5.638265601767346
230,-5.644226066244885
231,-5.646133414877697
232,-5.646848670615002
233,-5.636358253134533
234,-5.629444114340588
235,-5.624914161337658
236,-5.630159370077893
237,-5.642080299032971
238,-5.648279182089611
239,-5.644464484823986
240,-5.633735648764416
241,-5.636119834555432
242,-5.632543555868908
243,-5.644226066244885
244,-5.647087089194104
245,-5.630874625815197
246,-5.621099464072033
247,-5.624914161337658
248,-5.633735648764416
249,-5.643033973349377
250,-5.646848670615002
251,-5.642080299032971
252,-5.633735648764416
253,-5.633974067343518
254,-5.637073508871838
255,-5.63731192745094
256,-5.642080299032971
257,-5.644702903403088
258,-5.636835090292736
259,-5.633735648764416
260,-5.638027183188244
261,-5.638265601767346
262,-5.649471274985119
263,-5.648517600668713
264,-5.640888206137463
265,-5.636119834555432
266,-5.639457694662854
267,-5.639219276083752
268,-5.634212485922619
269,-5.63731192745094
270,-5.647563926352307
271,-5.647802344931408
272,-5.650663367880627
273,-5.648279182089611
274,-5.639696113241955
275,-5.642080299032971
276,-5.631828300131604
277,-5.635642997397229
278,-5.632066718710705
279,-5.6389808575046505
280,-5.643987647665783
281,-5.640172950400158
282,-5.642080299032971
283,-5.64494132198219
284,-5.643272391928479
285,-5.637550346030041
286,-5.643749229086682
287,-5.647563926352307
288,-5.639696113241955
289,-5.62515257991676
290,-5.632543555868908
291,-5.646848670615002
292,-5.643033973349377
293,-5.6427955547702755
294,-5.637550346030041
295,-5.633735648764416
296,-5.627059928549572
297,-5.626583091391369
298,-5.644464484823986
299,-5.64804076351051
300,-5.645656577719494
301,-5.638265601767346
302,-5.631113044394299
303,-5.624914161337658
304,-5.626583091391369
305,-5.632066718710705
306,-5.629444114340588
307,-5.63278197444801
308,-5.640649787558361
309,-5.65257071651344
310,-5.644702903403088
311,-5.642318717612072
312,-5.631589881552502
313,-5.625867835654065
314,-5.633497230185315
315,-5.650186530722424
316,-5.64494132198219
317,-5.641603461874768
318,-5.63731192745094
319,-5.623483649863049
320,-5.63588141597633
321,-5.646848670615002
322,-5.647325507773205
323,-5.651378623617932
324,-5.652093879355236
325,-5.646371833456799
326,-5.629920951498791
327,-5.616807929648205
328,-5.619192115439221
329,-5.621337882651135
330,-5.625390998495861
331,-5.640888206137463
332,-5.642318717612072
333,-5.634212485922619
334,-5.6313514629734005
335,-5.632066718710705
336,-5.628728858603283
337,-5.639457694662854
338,-5.636119834555432
339,-5.6351661602390255
340,-5.639696113241955
341,-5.647802344931408
342,-5.646371833456799
343,-5.655431739462658
344,-5.644464484823986
345,-5.639457694662854
346,-5.633974067343518
347,-5.634927741659924
348,-5.6427955547702755
349,-5.63731192745094
350,-5.637550346030041
351,-5.629444114340588
352,-5.62825202144508
353,-5.618476859701916
354,-5.624675742758557
355,-5.636596671713635
356,-5.626821509970471
357,-5.623245231283947
358,-5.637788764609143
359,-5.631828300131604
360,-5.630159370077893
361,-5.645179740561291
362,-5.650901786459729
363,-5.655193320883557
364,-5.656623832358166
365,-5.646371833456799
366,-5.643987647665783
367,-5.64041136897926
368,-5.646848670615002
369,-5.650186530722424
370,-5.6466102520359005
371,-5.641603461874768
372,-5.632066718710705
373,-5.636835090292736
374,-5.641841880453869
375,-5.638504020346447
376,-5.629205695761486
377,-5.623483649863049
378,-5.627059928549572
379,-5.630159370077893
380,-5.631828300131604
381,-5.6275367657077755
382,-5.628728858603283
383,-5.623483649863049
384,-5.6160926739109005
385,-5.630874625815197
386,-5.638265601767346
387,-5.639219276083752
388,-5.635642997397229
389,-5.635642997397229
390,-5.634927741659924
391,-5.638742438925549
392,-5.640649787558361
393,-5.63588141597633
394,-5.629444114340588
395,-5.6427955547702755
396,-5.646133414877697
397,-5.633258811606213
398,-5.63588141597633
399,-5.651617042197033
400,-5.6466102520359005
401,-5.647563926352307
402,-5.636835090292736
403,-5.636835090292736
404,-5.6275367657077755
405,-5.6199073711765255
406,-5.623245231283947
407,-5.638027183188244
408,-5.64494132198219
409,-5.640172950400158
410,-5.633258811606213
411,-5.625629417074963
412,-5.630636207236096
413,-5.626821509970471
414,-5.631113044394299
415,-5.64351081050758
416,-5.638265601767346
417,-5.62968253291969
418,-5.627298347128674
419,-5.628967277182385
420,-5.64494132198219
421,-5.643272391928479
422,-5.6466102520359005
423,-5.646848670615002
424,-5.642557136191174
425,-5.63731192745094
426,-5.636596671713635
427,-5.641365043295666
428,-5.650663367880627
429,-5.649948112143322
430,-5.6313514629734005
431,-5.62205313838844
432,-5.630397788656994
433,-5.64041136897926
434,-5.635404578818127
435,-5.634689323080822
436,-5.634689323080822
437,-5.630159370077893
438,-5.63588141597633
439,-5.641365043295666
440,-5.644226066244885
441,-5.650186530722424
