,NIG019_NS 100.0(Hz) unit:(gal)
277,3.1584267472742393
278,3.14936684126838
279,3.148174748372872
280,3.1500820970056846
281,3.1512741899011925
282,3.1577114915369346
283,3.1469826554773643
284,3.149843678426583
285,3.1486515855310753
286,3.140068516683419
287,3.1355385636804893
288,3.1386380052088096
289,3.145075306844552
290,3.146505818319161
291,3.1546120500086143
292,3.1550888871668175
293,3.145552144002755
294,3.1474594926355675
295,3.159618840169747
296,3.157473072957833
297,3.1600956773279503
298,3.162479863118966
299,3.1567578172205284
300,3.160334095907052
301,3.1605725144861534
302,3.159142003011544
303,3.162479863118966
304,3.1589035844324425
305,3.1560425614832237
306,3.158665165853341
307,3.152704701375802
308,3.1581883286951378
309,3.151035771322091
310,3.146028981160958
311,3.147697911214669
312,3.1467442368982628
313,3.151035771322091
314,3.1424527024744346
315,3.134584889364083
316,3.1381611680506065
317,3.1441216325281456
318,3.1369690751550987
319,3.147697911214669
320,3.1534199571131065
321,3.155804142904122
322,3.1486515855310753
323,3.1522278642175987
324,3.1517510270593956
325,3.146028981160958
326,3.1589035844324425
327,3.168440327596505
328,3.1643872117517784
329,3.1720166062830284
330,3.160334095907052
331,3.1469826554773643
332,3.1572346543787315
333,3.149843678426583
334,3.148174748372872
335,3.1546120500086143
336,3.148890004110177
337,3.1457905625818565
338,3.1441216325281456
339,3.1512741899011925
340,3.149843678426583
341,3.155327305745919
342,3.1522278642175987
343,3.153181538534005
344,3.157949910116036
345,3.1567578172205284
346,3.154850468587716
347,3.1491284226892784
348,3.1469826554773643
349,3.1653408860681846
350,3.1643872117517784
351,3.1653408860681846
352,3.159142003011544
353,3.1500820970056846
354,3.143406376790841
355,3.142691121053536
356,3.156519398641427
357,3.1674866532800987
358,3.1631951188562706
359,3.1522278642175987
360,3.142214283895333
361,3.149843678426583
362,3.152704701375802
363,3.1486515855310753
364,3.1572346543787315
365,3.159618840169747
366,3.1469826554773643
367,3.143883213949044
368,3.136253819417794
369,3.1467442368982628
370,3.155804142904122
371,3.1605725144861534
372,3.1546120500086143
373,3.1410221909998253
374,3.143406376790841
375,3.154135212850411
376,3.155804142904122
377,3.160810933065255
378,3.159618840169747
379,3.1555657243250206
380,3.157473072957833
381,3.1584267472742393
382,3.152704701375802
383,3.1522278642175987
384,3.1572346543787315
385,3.1567578172205284
386,3.14936684126838
387,3.154850468587716
388,3.154135212850411
389,3.1445984696863487
390,3.1469826554773643
391,3.155327305745919
392,3.1424527024744346
393,3.1453137254236534
394,3.1546120500086143
395,3.1543736314295128
396,3.150320515584786
397,3.140068516683419
398,3.1462673997400596
399,3.1550888871668175
400,3.161764607381661
401,3.1534199571131065
402,3.151989445638497
403,3.1448368882654503
404,3.1517510270593956
405,3.1631951188562706
406,3.156519398641427
407,3.154850468587716
408,3.15699623579963
409,3.1500820970056846
410,3.1457905625818565
411,3.1419758653162315
412,3.1431679582117393
413,3.1534199571131065
414,3.1529431199549034
415,3.148890004110177
416,3.1436447953699425
417,3.1562809800623253
418,3.156519398641427
419,3.1715397691248253
420,3.162479863118966
421,3.1598572587488487
422,3.153181538534005
423,3.154135212850411
424,3.1534199571131065
425,3.152704701375802
426,3.151035771322091
427,3.14936684126838
428,3.147221074056466
429,3.1479363297937706
430,3.148890004110177
431,3.1550888871668175
432,3.149843678426583
433,3.1393532609461143
434,3.1462673997400596
435,3.156519398641427
436,3.160810933065255
437,3.1517510270593956
438,3.1453137254236534
439,3.143883213949044
440,3.156519398641427
441,3.1643872117517784
442,3.1665329789636925
443,3.1598572587488487
444,3.1522278642175987
445,3.160334095907052
446,3.1589035844324425
447,3.155327305745919
448,3.1560425614832237
449,3.164148793172677
450,3.1631951188562706
451,3.16462563033088
452,3.156519398641427
453,3.1512741899011925
454,3.150320515584786
455,3.149843678426583
456,3.144360051107247
457,3.156519398641427
458,3.170109257650216
459,3.1543736314295128
460,3.1457905625818565
461,3.1467442368982628
462,3.142214283895333
463,3.15699623579963
464,3.1555657243250206
465,3.1500820970056846
466,3.151035771322091
467,3.1572346543787315
468,3.148890004110177
469,3.153658375692208
470,3.1474594926355675
471,3.1467442368982628
472,3.1484131669519737
473,3.15699623579963
474,3.162479863118966
475,3.16462563033088
476,3.1670098161218956
477,3.158665165853341
478,3.1496052598474815
479,3.147221074056466
480,3.162479863118966
481,3.1696324204920128
482,3.1631951188562706
483,3.1598572587488487
484,3.1538967942713096
485,3.155327305745919
486,3.165102467489083
487,3.166771397542794
488,3.165579304647286
489,3.1620030259607628
490,3.153181538534005
491,3.142691121053536
492,3.1486515855310753
493,3.153181538534005
494,3.15699623579963
495,3.152704701375802
496,3.140545353841622
497,3.134584889364083
498,3.1424527024744346
499,3.151512608480294
500,3.147697911214669
501,3.1555657243250206
502,3.162479863118966
503,3.1507973527429893
504,3.1534199571131065
505,3.1529431199549034
506,3.167963490438302
507,3.1691555833338096
508,3.171062931966622
509,3.1746392106531456
510,3.1610493516443565
511,3.161764607381661
512,3.160810933065255
513,3.1538967942713096
514,3.1445984696863487
515,3.1512741899011925
516,3.143406376790841
517,3.146028981160958
518,3.1414990281580284
519,3.141260609578927
520,3.144360051107247
521,3.1486515855310753
522,3.161764607381661
523,3.161764607381661
524,3.159618840169747
525,3.1584267472742393
526,3.1522278642175987
527,3.1560425614832237
528,3.161764607381661
529,3.1610493516443565
530,3.1593804215906456
531,3.16462563033088
532,3.165102467489083
533,3.159618840169747
534,3.1622414445398643
535,3.1639103745935753
536,3.1677250718592003
537,3.1615261888025596
538,3.1550888871668175
539,3.1448368882654503
540,3.1491284226892784
541,3.1546120500086143
542,3.147697911214669
543,3.146505818319161
544,3.144360051107247
545,3.1414990281580284
546,3.135061726522286
547,3.145075306844552
548,3.1469826554773643
549,3.1491284226892784
550,3.1457905625818565
551,3.146028981160958
552,3.156519398641427
553,3.1581883286951378
554,3.1653408860681846
555,3.1610493516443565
556,3.1653408860681846
557,3.170109257650216
558,3.154135212850411
559,3.1648640489099815
560,3.164148793172677
561,3.171778187703927
562,3.1653408860681846
563,3.165102467489083
564,3.154850468587716
565,3.155804142904122
566,3.160810933065255
567,3.158665165853341
568,3.15699623579963
569,3.151512608480294
570,3.1507973527429893
571,3.153658375692208
572,3.143883213949044
573,3.146028981160958
574,3.1555657243250206
575,3.1505589341638878
576,3.148174748372872
577,3.1467442368982628
578,3.1560425614832237
579,3.1546120500086143
580,3.148174748372872
581,3.1507973527429893
582,3.156519398641427
583,3.160810933065255
584,3.158665165853341
