,MYG004_NS 100.0(Hz) unit:(gal)
134,0.8072773606052905
135,0.7933288997154051
136,0.7717721874310399
137,0.7635299150870161
138,0.7635299150870161
139,0.7717721874310399
140,0.7819165226236819
141,0.7857206483209218
142,0.7882567321190841
143,0.7888907530686247
144,0.7806484807246008
145,0.7698701245824182
146,0.7692361036328776
147,0.7762103340778204
148,0.7939629206649457
149,0.8060093187062094
150,0.7926948787658645
151,0.7787464178759826
152,0.7749422921787392
153,0.7673340407842595
154,0.7660659988851783
155,0.7857206483209218
156,0.80664333965575
157,0.7990350882612667
158,0.7806484807246008
159,0.7698701245824182
160,0.7635299150870161
161,0.7711381664814994
162,0.7787464178759826
163,0.7800144597750602
164,0.7863546692704624
165,0.7914268368667834
166,0.7926948787658645
167,0.7882567321190841
168,0.7755763131282798
169,0.7730402293301211
170,0.7825505435732225
171,0.7844526064218442
172,0.7800144597750602
173,0.7882567321190841
174,0.7952309625640268
175,0.7781123969264421
176,0.7597257893897762
177,0.7597257893897762
178,0.7660659988851783
179,0.7774783759769015
180,0.7939629206649457
181,0.8072773606052905
182,0.8091794234539087
183,0.7926948787658645
184,0.7660659988851783
185,0.7705041455319588
186,0.8079113815548311
187,0.8085454025043681
188,0.7755763131282798
189,0.7660659988851783
190,0.7622618731879349
191,0.7476793913485125
192,0.7527515589448335
193,0.7692361036328776
194,0.7819165226236819
195,0.8009371511098884
196,0.8079113815548311
197,0.7926948787658645
198,0.7876227111695435
199,0.7907928159172428
200,0.7800144597750602
201,0.7717721874310399
202,0.7825505435732225
203,0.7901587949677058
204,0.7895247740181652
205,0.792060857816324
206,0.7838185854723037
207,0.7667000198347189
208,0.7673340407842595
209,0.7635299150870161
210,0.748313412298053
211,0.7546536217934552
212,0.7825505435732225
213,0.8053752977566688
214,0.811715507252071
215,0.811715507252071
216,0.811715507252071
217,0.8028392139585065
218,0.7901587949677058
219,0.7850866273713812
220,0.7819165226236819
221,0.7793804388255197
222,0.7749422921787392
223,0.7667000198347189
224,0.7635299150870161
225,0.7590917684402356
226,0.7445092866008096
227,0.7445092866008096
228,0.7730402293301211
229,0.7977670463621855
230,0.7952309625640268
231,0.7888907530686247
232,0.792060857816324
233,0.7939629206649457
234,0.7939629206649457
235,0.7895247740181652
236,0.7838185854723037
237,0.792060857816324
238,0.8053752977566688
239,0.8041072558575877
240,0.7926948787658645
241,0.7781123969264421
242,0.7679680617337965
243,0.753385579894374
244,0.738803098054948
245,0.7476793913485125
246,0.7686020826833371
247,0.7831845645227631
248,0.7984010673117261
249,0.8148856119997703
250,0.8212258214951724
251,0.811715507252071
252,0.7926948787658645
253,0.7755763131282798
254,0.7743082712291987
255,0.7730402293301211
256,0.7578237265411545
257,0.748313412298053
258,0.7521175379952929
259,0.7609938312888573
260,0.7730402293301211
261,0.7901587949677058
262,0.8047412768071283
263,0.80664333965575
264,0.8022051930089695
265,0.7958649835135674
266,0.7939629206649457
267,0.796499004463108
268,0.7819165226236819
269,0.7590917684402356
270,0.7552876427429958
271,0.7578237265411545
272,0.7705041455319588
273,0.8091794234539087
274,0.8313701566878144
275,0.8085454025043681
276,0.7762103340778204
277,0.7476793913485125
278,0.7362670142567893
279,0.7660659988851783
