,NIGH01_NS1 200.0(Hz) unit:(gal)
234,0.035785468419392785
235,0.036739142735799035
236,0.03745439847310372
237,0.03840807278950997
238,0.03936174710591622
239,0.04031542142232247
240,0.04103067715962716
241,0.04174593289693185
242,0.041507514317830285
243,0.04007700284322091
244,0.03745439847310372
245,0.03650072415669747
246,0.038646491368611535
247,0.04222277005513497
248,0.04365328152974435
249,0.0426996072133381
250,0.04103067715962716
251,0.04031542142232247
252,0.039600165685017785
253,0.03936174710591622
254,0.03983858426411935
255,0.040553840001424035
256,0.04007700284322091
257,0.0388849099477131
258,0.03816965421040841
259,0.03793123563130685
260,0.03721597989400216
261,0.03602388699849435
262,0.03554704984029122
263,0.03602388699849435
264,0.03650072415669747
265,0.03602388699849435
266,0.034831794102986535
267,0.033878119786580285
268,0.034831794102986535
269,0.03745439847310372
270,0.0388849099477131
271,0.03840807278950997
272,0.0369775613149006
273,0.0369775613149006
274,0.03745439847310372
275,0.037692817052205285
276,0.037692817052205285
277,0.03745439847310372
278,0.03721597989400216
279,0.03816965421040841
280,0.04031542142232247
281,0.042461188634236535
282,0.04293802579243966
283,0.04174593289693185
284,0.03983858426411935
285,0.03816965421040841
286,0.03793123563130685
287,0.03793123563130685
288,0.03793123563130685
289,0.03793123563130685
290,0.03816965421040841
291,0.03840807278950997
292,0.03983858426411935
293,0.04222277005513497
294,0.043414862950642785
295,0.04174593289693185
296,0.03793123563130685
297,0.03554704984029122
298,0.03626230557759591
299,0.03816965421040841
300,0.03840807278950997
301,0.036739142735799035
302,0.03459337552388497
303,0.033878119786580285
304,0.0350702126820881
305,0.03745439847310372
306,0.03983858426411935
307,0.0407922585805256
308,0.038646491368611535
309,0.03554704984029122
310,0.03435495694478341
311,0.0350702126820881
312,0.03602388699849435
313,0.035785468419392785
314,0.03530863126118966
315,0.03459337552388497
316,0.034831794102986535
317,0.035785468419392785
318,0.0369775613149006
319,0.03793123563130685
320,0.037692817052205285
321,0.0369775613149006
322,0.03650072415669747
323,0.0369775613149006
324,0.03793123563130685
325,0.038646491368611535
326,0.039600165685017785
327,0.04007700284322091
328,0.0388849099477131
329,0.03745439847310372
330,0.0388849099477131
331,0.04293802579243966
332,0.04579904874165841
333,0.04579904874165841
334,0.04365328152974435
335,0.04222277005513497
336,0.04222277005513497
337,0.043414862950642785
338,0.044368537267049035
339,0.04413011868794747
340,0.0426996072133381
341,0.04174593289693185
342,0.04222277005513497
343,0.04293802579243966
344,0.043414862950642785
345,0.04413011868794747
346,0.04413011868794747
347,0.04198435147603341
348,0.037692817052205285
349,0.03459337552388497
350,0.0350702126820881
351,0.037692817052205285
352,0.039600165685017785
353,0.03912332852681466
354,0.03721597989400216
355,0.03459337552388497
356,0.03268602689107247
357,0.03268602689107247
358,0.0350702126820881
359,0.03840807278950997
360,0.04007700284322091
361,0.04007700284322091
362,0.03983858426411935
363,0.03936174710591622
364,0.03840807278950997
365,0.037692817052205285
366,0.03840807278950997
367,0.04031542142232247
368,0.04222277005513497
369,0.04198435147603341
370,0.04007700284322091
371,0.037692817052205285
372,0.03721597989400216
373,0.038646491368611535
374,0.03912332852681466
375,0.03721597989400216
376,0.034831794102986535
377,0.03435495694478341
378,0.03554704984029122
379,0.03745439847310372
380,0.03912332852681466
381,0.04007700284322091
382,0.040553840001424035
383,0.040553840001424035
384,0.040553840001424035
385,0.04007700284322091
386,0.0388849099477131
387,0.03816965421040841
388,0.03793123563130685
389,0.03840807278950997
390,0.03912332852681466
391,0.03936174710591622
392,0.03816965421040841
393,0.03626230557759591
394,0.0350702126820881
395,0.03554704984029122
396,0.03721597989400216
397,0.0388849099477131
398,0.039600165685017785
399,0.03983858426411935
400,0.04103067715962716
401,0.04317644437154122
402,0.04389170010884591
